OBJECTID,country,project_id,project_name,group_id,group_name,project_status,class,sub_class,grant_reference,phase,hectares,Shape__Area,Shape__Length
1157,Wales,104000000027223,Bryn Arw,103000000017207,Forest Carbon Group Scheme 12,Validated,Planted,Broadleaved (>80%),A0040018/7575160,7,61.31,613093.0168991089,7098.2230228074695
1158,Scotland,104000000027224,Talla & Gameshope 3,103000000017207,Forest Carbon Group Scheme 12,Validated,Planted,Broadleaved (>80%),18FGS28678,7,9.12,91248.29914855957,2899.1891894239798
1159,Scotland,104000000027224,Talla & Gameshope 3,103000000017207,Forest Carbon Group Scheme 12,Validated,Other,Open Ground,18FGS28678,7,1,10001.707580566406,411.4790383962349
1160,Scotland,104000000027225,Blairhouse,103000000017302,FLS Woodland Carbon Projects Group 3,Under Development,Planted,Broadleaved (>80%),,9,16.87,168685.42658996582,10621.171659375006
1161,Scotland,104000000027225,Blairhouse,103000000017302,FLS Woodland Carbon Projects Group 3,Under Development,Planted,Conifer (>80%),,9,11.91,119074.39193725586,8318.269605493637
1162,Scotland,104000000027225,Blairhouse,103000000017302,FLS Woodland Carbon Projects Group 3,Under Development,Planted,Mixed predominantly conifer (50-80%),,9,4.38,43835.761291503906,1351.2799891848738
1163,Scotland,104000000027225,Blairhouse,103000000017302,FLS Woodland Carbon Projects Group 3,Under Development,Other,Existing Woodland,,9,22.87,228671.01747131348,6498.987637381779
1164,Scotland,104000000027225,Blairhouse,103000000017302,FLS Woodland Carbon Projects Group 3,Under Development,Other,Open Ground,,9,33.3,333043.6368865967,27397.072760681698
1165,Scotland,104000000027226,Cathpair,,,Validated,Planted,Broadleaved (>80%),18FGS34420,8,13.61,136091.05391276383,9842.165257408655
1166,Scotland,104000000027226,Cathpair,,,Validated,Planted,Conifer (>80%),18FGS34420,8,19.92,199185.67738770694,6403.1016660509495
1167,Scotland,104000000027226,Cathpair,,,Validated,Other,Open Ground,18FGS34420,8,2.89,28915.262725830078,6383.201611015785
1168,Scotland,104000000027227,Glenapp,103000000017207,Forest Carbon Group Scheme 12,Validated,Planted,Broadleaved (>80%),17FGS20417-001A,7,88.05,880457.6458511353,43171.94584394558
1169,Scotland,104000000027227,Glenapp,103000000017207,Forest Carbon Group Scheme 12,Validated,Planted,Conifer (>80%),17FGS20417-001A,7,34.06,340634.58489227295,12043.459933733131
1170,Scotland,104000000027227,Glenapp,103000000017207,Forest Carbon Group Scheme 12,Validated,Other,Open Ground,17FGS20417-001A,7,20.04,200380.74047851562,11547.951669550786
